transformer_block,string_number,module_slot,visual_row,visual_col
T06,1,1,1,3
T06,1,2,2,3
T06,1,3,2,4
T06,1,4,2,5
T06,1,5,2,6
T06,1,6,3,3
T06,1,7,3,4
T06,1,8,3,5
T06,1,9,3,6
T06,1,10,4,3
T06,1,11,4,4
T06,1,12,4,5
T06,1,13,4,6
T06,1,14,5,3
T06,1,15,5,4
T06,1,16,5,5
T06,1,17,5,6
T06,1,18,6,3
T06,1,19,6,5
T06,1,20,6,6
T06,2,1,7,3
T06,2,2,7,4
T06,1,21,7,5
T06,2,3,8,3
T06,2,4,8,4
T06,2,5,8,5
T06,2,6,9,3
T06,2,7,9,4
T06,3,1,9,9
T06,2,8,10,3
T06,2,9,10,4
T06,3,2,10,9
T06,2,10,11,3
T06,3,3,11,8
T06,3,4,11,9
T06,2,11,12,3
T06,3,5,12,8
T06,3,6,12,9
T06,2,12,13,3
T06,3,7,13,8
T06,3,8,13,9
T06,2,13,14,5
T06,2,14,14,6
T06,3,9,14,7
T06,3,10,14,8
T06,3,11,14,9
T06,2,15,15,5
T06,3,12,15,6
T06,3,13,15,7
T06,3,14,15,8
T06,3,15,15,9
T06,2,16,16,5
T06,3,16,16,6
T06,3,17,16,7
T06,3,18,16,8
T06,3,19,16,9
T06,2,17,17,4
T06,2,18,17,5
T06,2,19,17,6
T06,2,20,17,7
T06,3,20,17,8
T06,3,21,17,9
T06,2,21,18,4
T06,4,1,18,5
T06,4,2,18,6
T06,4,3,18,7
T06,4,4,18,8
T06,4,5,18,9
T06,4,6,19,4
T06,4,7,19,5
T06,4,8,19,6
T06,4,9,19,7
T06,4,10,19,8
T06,4,11,19,9
T06,4,12,20,4
T06,4,13,20,5
T06,4,14,20,6
T06,4,15,20,7
T06,4,16,20,8
T06,4,17,20,9
T06,5,1,21,3
T06,5,2,21,4
T06,5,3,21,5
T06,4,18,21,6
T06,4,19,21,7
T06,4,20,21,8
T06,4,21,21,9
T06,5,4,22,3
T06,5,5,22,4
T06,5,6,22,5
T06,5,7,22,6
T06,5,8,22,7
T06,5,9,22,8
T06,5,10,22,9
T06,5,11,23,3
T06,5,12,23,4
T06,5,13,23,5
T06,5,14,23,6
T06,5,15,23,7
T06,5,16,23,8
T06,5,17,23,9
T06,5,18,24,3
T06,5,19,24,4
T06,5,20,24,5
T06,5,21,24,6
T06,6,1,24,7
T06,6,2,24,8
T06,6,3,24,9
T06,6,4,25,2
T06,6,5,25,3
T06,6,6,25,4
T06,6,7,25,5
T06,6,8,25,6
T06,6,9,25,7
T06,6,10,25,8
T06,6,11,25,9
T06,6,12,26,2
T06,6,13,26,3
T06,6,14,26,4
T06,6,15,26,5
T06,6,16,26,6
T06,6,17,26,7
T06,6,18,26,8
T06,6,19,26,9
