transformer_block,string_number,module_slot,visual_row,visual_col
T07,1,1,1,4
T07,1,2,1,5
T07,1,3,1,6
T07,1,4,1,7
T07,1,5,1,8
T07,1,6,1,9
T07,1,7,1,10
T07,1,8,1,11
T07,1,9,2,4
T07,1,10,2,5
T07,1,11,2,6
T07,1,12,2,7
T07,1,13,2,8
T07,1,14,2,9
T07,1,15,2,10
T07,1,16,2,11
T07,1,17,3,4
T07,1,18,3,5
T07,1,19,3,6
T07,1,20,3,7
T07,1,21,3,8
T07,2,1,3,9
T07,2,2,3,10
T07,2,3,3,11
T07,2,4,4,4
T07,2,5,4,5
T07,2,6,4,6
T07,2,7,4,7
T07,2,8,4,8
T07,2,9,4,9
T07,2,10,4,10
T07,2,11,4,11
T07,2,12,5,4
T07,2,13,5,5
T07,2,14,5,6
T07,2,15,5,7
T07,2,16,5,8
T07,2,17,5,9
T07,2,18,5,10
T07,2,19,5,11
T07,2,20,6,4
T07,2,21,6,5
T07,3,1,6,6
T07,3,2,6,7
T07,3,3,6,8
T07,3,4,6,9
T07,3,5,6,10
T07,3,6,6,11
T07,3,7,7,3
T07,3,8,7,4
T07,3,9,7,5
T07,3,10,7,6
T07,3,11,7,7
T07,3,12,7,8
T07,3,13,7,9
T07,3,14,7,10
T07,3,15,7,11
T07,3,16,8,3
T07,3,17,8,4
T07,3,18,8,5
T07,3,19,8,6
T07,3,20,8,7
T07,3,21,8,8
T07,4,1,8,9
T07,4,2,8,10
T07,4,3,8,11
T07,4,4,9,3
T07,4,5,9,4
T07,4,6,9,5
T07,4,7,9,6
T07,4,8,9,7
T07,4,9,9,8
T07,4,10,9,9
T07,4,11,9,10
T07,4,12,9,11
T07,4,13,10,3
T07,4,14,10,4
T07,4,15,10,5
T07,4,16,10,6
T07,4,17,10,7
T07,4,18,10,8
T07,4,19,10,9
T07,4,20,10,10
T07,5,1,10,11
T07,5,2,11,2
T07,5,3,11,3
T07,5,4,11,4
T07,5,5,11,5
T07,5,6,11,6
T07,5,7,11,7
T07,5,8,11,8
T07,5,9,11,9
T07,5,10,11,10
T07,5,11,12,2
T07,5,12,12,3
T07,5,13,12,4
T07,5,14,12,5
T07,5,15,12,6
T07,5,16,12,7
T07,5,17,12,8
T07,5,18,12,9
T07,5,19,12,10
T07,6,1,13,2
T07,6,2,13,3
T07,6,3,13,4
T07,6,4,13,5
T07,6,5,13,6
T07,6,6,13,7
T07,6,7,13,8
T07,6,8,13,9
T07,5,20,13,10
T07,6,9,14,2
T07,6,10,14,3
T07,6,11,14,4
T07,6,12,14,5
T07,6,13,14,6
T07,6,14,14,7
T07,6,15,14,8
T07,6,16,14,9
T07,6,17,14,10
T07,7,1,15,2
T07,7,2,15,3
T07,7,3,15,4
T07,7,4,15,5
T07,7,5,15,6
T07,6,18,15,7
T07,6,19,15,8
T07,6,20,15,9
T07,6,21,15,10
T07,7,6,16,2
T07,7,7,16,3
T07,7,8,16,4
T07,7,9,16,5
T07,7,10,16,6
T07,7,11,16,7
T07,7,12,16,8
T07,7,13,16,9
T07,7,14,16,10
T07,8,1,17,2
T07,8,2,17,3
T07,7,15,17,4
T07,7,16,17,5
T07,7,17,17,6
T07,7,18,17,7
T07,7,19,17,8
T07,7,20,17,9
T07,7,21,17,10
T07,8,3,18,2
T07,8,4,18,3
T07,8,5,18,4
T07,8,6,18,5
T07,8,7,18,6
T07,8,8,18,7
