transformer_block,string_number,module_slot,visual_row,visual_col
T07,8,9,18,8
T07,8,10,18,9
T07,8,11,18,10
T07,8,12,19,2
T07,8,13,19,3
T07,8,14,19,4
T07,8,15,19,5
T07,8,16,19,6
T07,8,17,19,7
T07,8,18,19,8
T07,8,19,19,9
T07,8,20,19,10
T07,9,1,20,2
T07,9,2,20,3
T07,9,3,20,4
T07,9,4,20,5
T07,9,5,20,6
T07,9,6,20,7
T07,9,7,20,9
T07,8,21,20,10
T07,9,8,21,1
T07,9,9,21,2
T07,9,10,21,3
T07,9,11,21,4
T07,9,12,21,5
T07,9,13,21,6
T07,9,14,21,7
T07,9,15,21,8
T07,9,16,21,9
T07,10,1,22,2
T07,10,2,22,3
T07,10,3,22,4
T07,9,17,22,5
T07,9,18,22,6
T07,9,19,22,7
T07,9,20,22,8
T07,9,21,22,9
T07,10,4,23,2
T07,10,5,23,3
T07,10,6,23,4
T07,10,7,23,5
T07,10,8,23,6
T07,10,9,23,7
T07,10,10,23,8
T07,10,11,23,9
T07,10,12,24,2
T07,10,13,24,3
T07,10,14,24,4
T07,10,15,24,5
T07,10,16,24,6
T07,10,17,24,7
T07,10,18,24,8
T07,11,1,25,2
T07,11,2,25,3
T07,11,3,25,4
T07,11,4,25,5
T07,10,19,25,6
T07,10,20,25,7
T07,10,21,25,8
T07,11,5,26,2
T07,11,6,26,3
T07,11,7,26,4
T07,11,8,26,5
T07,11,9,26,6
T07,11,10,26,7
T07,11,11,26,8
T07,11,12,27,2
T07,11,13,27,3
T07,11,14,27,4
T07,11,15,27,5
T07,11,16,27,6
T07,11,17,27,7
T07,11,18,27,8
T07,12,1,28,2
T07,12,2,28,3
T07,12,3,28,4
T07,11,19,28,5
T07,11,20,28,6
T07,11,21,28,7
T07,12,4,29,2
T07,12,5,29,3
T07,12,6,29,4
T07,12,7,29,5
T07,12,8,29,6
T07,12,9,29,7
T07,12,10,30,2
T07,12,11,30,3
T07,12,12,30,4
T07,12,13,30,5
T07,12,14,30,6
T07,12,15,30,7
T07,12,16,31,2
T07,12,17,31,3
T07,12,18,31,4
T07,12,19,31,5
T07,12,20,31,6
T07,13,1,32,2
T07,13,2,32,3
T07,13,3,32,4
T07,13,4,32,5
T07,12,21,32,6
T07,13,5,33,2
T07,13,6,33,3
T07,13,7,33,4
T07,13,8,33,5
T07,13,9,34,1
T07,13,10,34,2
T07,13,11,34,3
T07,13,12,34,4
T07,13,13,34,5
T07,13,14,35,1
T07,13,15,35,3
T07,13,16,35,4
T07,13,17,35,5
T07,13,18,36,3
T07,13,19,36,4
T07,13,20,37,3
T07,13,21,37,4
