transformer_block,string_number,module_slot,visual_row,visual_col
T03,1,1,1,1
T03,1,2,1,2
T03,1,3,1,3
T03,1,4,1,4
T03,1,5,1,5
T03,2,1,1,6
T03,2,2,1,7
T03,2,3,1,8
T03,2,4,1,9
T03,1,6,2,1
T03,1,7,2,2
T03,1,8,2,3
T03,1,9,2,4
T03,1,10,2,5
T03,2,5,2,6
T03,2,6,2,7
T03,2,7,2,8
T03,2,8,2,9
T03,1,11,3,1
T03,1,12,3,2
T03,1,13,3,3
T03,1,14,3,4
T03,1,15,3,5
T03,2,9,3,6
T03,2,10,3,7
T03,2,11,3,8
T03,2,12,3,9
T03,3,1,3,10
T03,3,2,3,11
T03,3,3,3,12
T03,3,4,3,13
T03,3,5,3,14
T03,1,16,4,1
T03,1,17,4,2
T03,1,18,4,3
T03,1,19,4,4
T03,1,20,4,5
T03,2,13,4,6
T03,2,14,4,7
T03,2,15,4,8
T03,2,16,4,9
T03,3,6,4,10
T03,3,7,4,11
T03,3,8,4,12
T03,3,9,4,13
T03,3,10,4,14
T03,1,21,5,1
T03,4,1,5,2
T03,4,2,5,3
T03,4,3,5,4
T03,4,4,5,5
T03,2,17,5,6
T03,2,18,5,7
T03,2,19,5,8
T03,2,20,5,9
T03,3,11,5,10
T03,3,12,5,11
T03,3,13,5,12
T03,3,14,5,13
T03,4,5,6,1
T03,4,6,6,2
T03,4,7,6,3
T03,4,8,6,4
T03,4,9,6,5
T03,5,1,6,6
T03,5,2,6,7
T03,5,3,6,8
T03,5,4,6,9
T03,3,15,6,10
T03,3,16,6,11
T03,3,17,6,12
T03,4,10,7,1
T03,4,11,7,2
T03,4,12,7,3
T03,4,13,7,4
T03,4,14,7,5
T03,5,5,7,6
T03,5,6,7,7
T03,5,7,7,8
T03,5,8,7,9
T03,3,18,7,10
T03,3,19,7,11
T03,4,15,8,1
T03,4,16,8,2
T03,4,17,8,3
T03,4,18,8,4
T03,4,19,8,5
T03,5,9,8,6
T03,5,10,8,7
T03,5,11,8,8
T03,5,12,8,9
T03,3,20,8,10
T03,4,20,9,1
T03,4,21,9,2
T03,6,1,9,3
T03,6,2,9,4
T03,6,3,9,5
T03,5,13,9,6
T03,5,14,9,7
T03,5,15,9,8
T03,5,16,9,9
T03,3,21,9,10
T03,6,4,10,1
T03,6,5,10,2
T03,6,6,10,3
T03,6,7,10,4
T03,6,8,10,5
T03,5,17,10,6
T03,5,18,10,7
T03,5,19,10,8
T03,5,20,10,9
T03,6,9,11,1
T03,6,10,11,2
T03,6,11,11,3
T03,6,12,11,4
T03,6,13,11,5
T03,7,1,11,6
T03,7,2,11,7
T03,7,3,11,8
T03,7,4,11,9
T03,6,14,12,1
T03,6,15,12,2
T03,6,16,12,3
T03,6,17,12,4
T03,6,18,12,5
T03,7,5,12,6
T03,7,6,12,7
T03,7,7,12,8
T03,6,19,13,1
T03,6,20,13,2
T03,6,21,13,3
T03,8,1,13,4
T03,8,2,13,5
T03,7,8,13,6
T03,7,9,13,7
T03,7,10,13,8
T03,8,3,14,1
T03,8,4,14,2
T03,8,5,14,3
T03,8,6,14,4
T03,8,7,14,5
T03,7,11,14,6
T03,7,12,14,7
T03,8,8,15,1
T03,8,9,15,2
T03,8,10,15,3
T03,8,11,15,4
T03,8,12,15,5
T03,7,13,15,6
T03,8,13,16,1
T03,8,14,16,2
T03,8,15,16,3
T03,8,16,16,4
T03,8,17,16,5
T03,7,14,16,6
T03,8,18,17,1
T03,8,19,17,2
T03,8,20,17,3
T03,8,21,17,4
T03,7,15,17,5
T03,7,16,17,6
T03,9,1,18,1
T03,9,2,18,2
T03,9,3,18,3
T03,7,17,18,4
T03,7,18,18,5
T03,7,19,18,6
T03,9,4,19,1
T03,9,5,19,2
T03,9,6,19,3
T03,9,7,19,4
T03,7,20,19,5
T03,9,8,19,6
T03,9,9,20,1
T03,9,10,20,2
T03,9,11,20,3
T03,9,12,20,4
T03,9,13,20,5
T03,9,14,20,6
T03,9,15,21,1
T03,9,16,21,2
T03,9,17,21,3
T03,9,18,21,4
T03,9,19,21,5
T03,9,20,21,6
T03,10,1,22,1
T03,10,2,22,2
T03,10,3,22,3
T03,10,4,22,4
T03,10,5,22,5
T03,10,6,22,6
T03,10,7,23,1
T03,10,8,23,2
T03,10,9,23,3
T03,10,10,23,4
T03,10,11,23,5
T03,10,12,23,6
T03,10,13,23,7
T03,10,14,24,1
T03,10,15,24,2
T03,10,16,24,3
T03,10,17,24,4
T03,10,18,24,5
T03,10,19,24,6
T03,10,20,24,7
T03,11,1,25,1
T03,11,2,25,2
T03,11,3,25,3
T03,11,4,25,4
T03,11,5,25,5
T03,11,6,25,6
T03,11,7,26,1
T03,11,8,26,2
T03,11,9,26,3
T03,11,10,26,4
T03,11,11,26,5
T03,11,12,26,6
T03,11,13,26,7
T03,11,14,26,8
T03,11,15,27,1
T03,11,16,27,2
T03,11,17,27,3
T03,11,18,27,4
T03,11,19,27,5
T03,11,20,27,6
T03,12,1,27,7
T03,12,2,27,8
T03,12,3,28,1
T03,12,4,28,2
T03,12,5,28,3
T03,12,6,28,4
T03,12,7,28,5
T03,12,8,28,6
T03,12,9,28,7
T03,12,10,28,8
T03,12,11,29,1
T03,12,12,29,2
T03,12,13,29,3
T03,12,14,29,4
T03,12,15,29,5
T03,12,16,29,6
T03,12,17,29,7
T03,12,18,29,8
T03,12,19,30,1
T03,12,20,30,2
