transformer_block,string_number,module_slot,visual_row,visual_col
T01,4,1,1,18
T01,4,2,1,19
T01,4,3,1,20
T01,4,4,1,21
T01,4,5,1,22
T01,2,1,2,1
T01,2,2,2,2
T01,2,3,2,3
T01,2,4,2,4
T01,2,5,2,5
T01,2,6,2,6
T01,2,7,2,7
T01,2,8,2,8
T01,2,9,2,9
T01,2,10,2,11
T01,2,11,2,12
T01,2,12,2,13
T01,2,13,2,14
T01,2,14,2,15
T01,2,15,2,16
T01,4,6,2,20
T01,4,7,2,21
T01,4,8,2,22
T01,4,9,2,23
T01,4,10,2,24
T01,1,1,3,1
T01,1,2,3,2
T01,1,3,3,3
T01,1,4,3,4
T01,1,5,3,5
T01,1,6,3,6
T01,1,7,3,7
T01,1,8,3,8
T01,2,16,3,9
T01,2,17,3,11
T01,2,18,3,12
T01,2,19,3,13
T01,2,20,3,14
T01,2,21,3,15
T01,3,1,3,16
T01,4,11,3,18
T01,4,12,3,19
T01,4,13,3,20
T01,4,14,3,21
T01,4,15,3,22
T01,4,16,3,23
T01,4,17,3,24
T01,1,9,4,1
T01,1,10,4,2
T01,1,11,4,3
T01,1,12,4,4
T01,1,13,4,5
T01,1,14,4,6
T01,1,15,4,7
T01,1,16,4,8
T01,1,17,4,9
T01,3,2,4,11
T01,3,3,4,12
T01,3,4,4,13
T01,3,5,4,14
T01,3,6,4,15
T01,3,7,4,16
T01,3,8,4,18
T01,3,9,4,19
T01,3,10,4,20
T01,4,18,4,21
T01,4,19,4,22
T01,4,20,4,23
T01,4,21,4,24
T01,5,1,5,1
T01,5,2,5,2
T01,5,3,5,3
T01,5,4,5,4
T01,5,5,5,5
T01,5,6,5,6
T01,1,18,5,7
T01,1,19,5,8
T01,1,20,5,9
T01,3,11,5,11
T01,3,12,5,12
T01,3,13,5,13
T01,3,14,5,14
T01,3,15,5,15
T01,3,16,5,16
T01,3,17,5,18
T01,3,18,5,19
T01,3,19,5,20
T01,3,20,5,21
T01,7,1,5,22
T01,7,2,5,23
T01,7,3,5,24
T01,5,7,6,1
T01,5,8,6,2
T01,5,9,6,3
T01,5,10,6,4
T01,5,11,6,5
T01,5,12,6,6
T01,5,13,6,7
T01,5,14,6,8
T01,5,15,6,9
T01,6,1,6,11
T01,6,2,6,12
T01,6,3,6,13
T01,6,4,6,14
T01,6,5,6,15
T01,6,6,6,16
T01,7,4,6,18
T01,7,5,6,19
T01,7,6,6,20
T01,7,7,6,21
T01,7,8,6,22
T01,7,9,6,23
T01,7,10,6,24
T01,8,1,7,1
T01,8,2,7,2
T01,8,3,7,3
T01,8,4,7,4
T01,5,16,7,5
T01,5,17,7,6
T01,5,18,7,7
T01,5,19,7,8
T01,5,20,7,9
T01,6,7,7,11
T01,6,8,7,12
T01,6,9,7,13
T01,6,10,7,14
T01,6,11,7,15
T01,6,12,7,16
T01,7,11,7,18
T01,7,12,7,19
T01,7,13,7,20
T01,7,14,7,21
T01,7,15,7,22
T01,7,16,7,23
T01,7,17,7,24
T01,8,5,8,1
T01,8,6,8,2
T01,8,7,8,3
T01,8,8,8,4
T01,8,9,8,5
T01,8,10,8,6
T01,8,11,8,7
T01,8,12,8,8
T01,8,13,8,9
T01,6,13,8,11
T01,6,14,8,12
T01,6,15,8,13
T01,6,16,8,14
T01,6,17,8,15
T01,6,18,8,16
T01,9,1,8,18
T01,9,2,8,19
T01,9,3,8,20
T01,7,18,8,21
T01,7,19,8,22
T01,7,20,8,23
T01,7,21,8,24
T01,10,1,9,1
T01,8,14,9,2
T01,8,15,9,3
T01,8,16,9,4
T01,8,17,9,5
T01,8,18,9,6
T01,8,19,9,7
T01,8,20,9,8
T01,8,21,9,9
T01,11,1,9,11
T01,11,2,9,12
T01,11,3,9,13
T01,6,19,9,14
T01,6,20,9,15
T01,6,21,9,16
T01,9,4,9,18
T01,9,5,9,19
T01,9,6,9,20
T01,9,7,9,21
T01,9,8,9,22
T01,9,9,9,23
T01,9,10,9,24
T01,10,2,10,1
T01,10,3,10,2
T01,10,4,10,3
T01,10,5,10,4
T01,10,6,10,5
T01,10,7,10,6
T01,10,8,10,7
T01,10,9,10,8
T01,10,10,10,9
T01,11,4,10,11
T01,11,5,10,12
T01,11,6,10,13
T01,11,7,10,14
T01,11,8,10,15
T01,11,9,10,16
T01,9,11,10,18
T01,9,12,10,19
T01,9,13,10,20
T01,9,14,10,21
T01,9,15,10,22
T01,9,16,10,23
T01,9,17,10,24
T01,10,11,11,1
T01,10,12,11,2
T01,10,13,11,3
T01,10,14,11,4
T01,10,15,11,5
T01,10,16,11,6
T01,10,17,11,7
T01,10,18,11,8
T01,10,19,11,9
T01,11,10,11,11
T01,11,11,11,12
T01,11,12,11,13
T01,11,13,11,14
T01,11,14,11,15
T01,11,15,11,16
T01,12,1,11,18
T01,12,2,11,19
T01,12,3,11,20
T01,9,18,11,21
T01,9,19,11,22
T01,9,20,11,23
T01,9,21,11,24
T01,10,20,12,4
T01,10,21,12,5
T01,11,16,12,11
T01,11,17,12,12
T01,11,18,12,13
T01,11,19,12,14
T01,11,20,12,15
T01,11,21,12,16
T01,12,4,12,18
T01,12,5,12,19
T01,12,6,12,20
T01,12,7,12,21
T01,12,8,12,22
T01,12,9,12,23
T01,12,10,12,24
T01,12,11,13,18
T01,12,12,13,19
T01,12,13,13,20
T01,12,14,13,21
T01,12,15,13,22
T01,12,16,13,23
T01,12,17,13,24
T01,12,18,14,19
T01,12,19,14,20
T01,12,20,14,21
T01,12,21,14,22
