transformer_block,string_number,module_slot,visual_row,visual_col
T05,1,1,1,1
T05,1,2,1,2
T05,1,3,1,3
T05,1,4,1,4
T05,1,5,1,5
T05,1,6,2,1
T05,1,7,2,2
T05,1,8,2,3
T05,1,9,2,4
T05,1,10,2,5
T05,1,11,2,6
T05,1,12,3,1
T05,1,13,3,2
T05,1,14,3,3
T05,1,15,3,4
T05,1,16,3,5
T05,1,17,3,6
T05,2,1,4,1
T05,2,2,4,2
T05,2,3,4,3
T05,1,18,4,4
T05,1,19,4,5
T05,1,20,4,6
T05,2,4,5,1
T05,2,5,5,2
T05,2,6,5,3
T05,2,7,5,4
T05,2,8,5,5
T05,2,9,5,6
T05,2,10,6,1
T05,2,11,6,2
T05,2,12,6,3
T05,2,13,6,4
T05,2,14,6,5
T05,2,15,6,6
T05,3,1,7,1
T05,2,16,7,2
T05,2,17,7,3
T05,2,18,7,4
T05,2,19,7,5
T05,2,20,7,6
T05,3,2,8,1
T05,3,3,8,2
T05,3,4,8,3
T05,3,5,8,4
T05,3,6,8,5
T05,3,7,8,6
T05,3,8,9,1
T05,3,9,9,2
T05,3,10,9,3
T05,3,11,9,4
T05,3,12,9,5
T05,3,13,9,6
T05,3,14,10,1
T05,3,15,10,2
T05,3,16,10,3
T05,3,17,10,4
T05,3,18,10,5
T05,3,19,10,6
T05,4,1,11,1
T05,4,2,11,2
T05,4,3,11,3
T05,4,4,11,4
T05,4,5,11,5
T05,3,20,11,6
T05,4,6,12,1
T05,4,7,12,2
T05,4,8,12,3
T05,4,9,12,4
T05,4,10,12,5
T05,4,11,12,6
T05,4,12,13,1
T05,4,13,13,2
T05,4,14,13,3
T05,4,15,13,4
T05,4,16,13,5
T05,4,17,13,6
T05,5,1,14,1
T05,5,2,14,2
T05,4,18,14,3
T05,4,19,14,4
T05,4,20,14,5
T05,5,3,15,1
T05,5,4,15,2
T05,5,5,15,3
T05,5,6,15,4
T05,5,7,15,5
T05,5,8,16,1
T05,5,9,16,2
T05,5,10,16,3
T05,5,11,16,4
T05,5,12,16,5
T05,5,13,17,1
T05,5,14,17,2
T05,5,15,17,3
T05,5,16,17,4
T05,5,17,17,5
T05,6,1,18,1
T05,6,2,18,2
T05,5,18,18,3
T05,5,19,18,4
T05,5,20,18,5
T05,6,3,19,1
T05,6,4,19,2
T05,6,5,19,3
T05,6,6,19,4
T05,6,7,19,5
T05,6,8,20,1
T05,6,9,20,2
T05,6,10,20,3
T05,6,11,20,4
T05,6,12,20,5
T05,6,13,21,1
T05,6,14,21,2
T05,6,15,21,3
T05,6,16,21,4
T05,6,17,21,5
T05,7,1,22,1
T05,6,18,22,2
T05,6,19,22,3
T05,6,20,22,4
T05,6,21,22,5
T05,7,2,23,1
T05,7,3,23,2
T05,7,4,23,3
T05,7,5,23,4
T05,7,6,23,5
T05,7,7,24,1
T05,7,8,24,2
T05,7,9,24,3
T05,7,10,24,4
T05,7,11,24,5
T05,7,12,25,1
T05,7,13,25,2
T05,7,14,25,3
T05,7,15,25,4
T05,7,16,25,5
T05,7,17,26,1
T05,7,18,26,2
T05,7,19,26,3
T05,7,20,26,4
T05,7,21,26,5
T05,8,1,26,6
T05,8,2,27,1
T05,8,3,27,2
T05,8,4,27,3
T05,8,5,27,4
T05,8,6,27,5
T05,8,7,27,6
T05,8,8,28,1
T05,8,9,28,2
T05,8,10,28,3
T05,8,11,28,4
T05,8,12,28,5
T05,8,13,28,6
T05,8,14,29,1
T05,8,15,29,2
T05,8,16,29,3
T05,8,17,29,4
T05,8,18,29,5
T05,8,19,29,6
T05,9,1,30,1
T05,9,2,30,2
T05,9,3,30,3
T05,9,4,30,4
T05,8,20,30,5
T05,8,21,30,6
T05,9,5,31,1
T05,9,6,31,2
T05,9,7,31,3
T05,9,8,31,4
T05,9,9,31,5
T05,9,10,31,6
T05,9,11,32,1
T05,9,12,32,2
T05,9,13,32,3
T05,9,14,32,4
T05,9,15,32,5
T05,9,16,33,1
T05,9,17,33,2
T05,9,18,33,3
T05,9,19,33,4
T05,9,20,34,1
T05,9,21,34,2
T05,10,1,34,6
T05,10,2,34,7
T05,10,3,35,4
T05,10,4,35,5
T05,10,5,35,6
T05,10,6,35,7
T05,10,7,36,1
T05,10,8,36,2
T05,10,9,36,3
T05,10,10,36,4
T05,10,11,36,5
T05,10,12,36,6
T05,10,13,37,1
T05,10,14,37,2
T05,10,15,37,3
T05,10,16,37,4
T05,10,17,37,5
T05,10,18,37,6
T05,11,1,38,1
T05,11,2,38,2
T05,11,3,38,3
T05,10,19,38,4
T05,10,20,38,5
T05,10,21,38,6
T05,11,4,39,1
T05,11,5,39,2
T05,11,6,39,3
T05,11,7,39,4
T05,11,8,39,5
T05,11,9,39,6
T05,11,10,40,1
T05,11,11,40,2
T05,11,12,40,3
T05,11,13,40,4
T05,11,14,40,5
T05,11,15,40,6
T05,11,16,41,1
T05,11,17,41,2
T05,11,18,41,3
T05,11,19,41,4
T05,11,20,41,5
T05,12,1,41,6
T05,11,21,42,1
T05,12,2,42,2
T05,12,3,42,3
T05,12,4,42,4
T05,12,5,42,5
T05,12,6,42,6
T05,12,7,43,2
T05,12,8,43,3
T05,12,9,43,4
T05,12,10,43,5
T05,12,11,43,6
T05,12,12,44,3
T05,12,13,44,4
T05,12,14,44,5
T05,12,15,44,6
T05,12,16,45,4
T05,12,17,45,5
T05,12,18,45,6
T05,12,19,46,5
T05,12,20,46,6
T05,12,21,47,6
